Timestamp,¿Qué tan de acuerdo está con la siguiente afirmación: "El curso fue útil"?,¿Qué tan de acuerdo está: "El instructor fue claro"?,¿Qué tan de acuerdo está: "Los materiales fueron adecuados"?,¿Qué tan de acuerdo está: "Recomendaría este curso"?
2/10/2026 9:00:00,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo
2/10/2026 9:15:00,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2/10/2026 9:30:00,De acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo
2/10/2026 9:45:00,Neutral,De acuerdo,Neutral,De acuerdo
2/10/2026 10:00:00,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
2/10/2026 10:15:00,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2/10/2026 10:30:00,En desacuerdo,Neutral,En desacuerdo,Neutral
2/10/2026 10:45:00,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo
2/10/2026 11:00:00,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo
2/10/2026 11:15:00,Neutral,Neutral,Neutral,Neutral
2/10/2026 11:30:00,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
2/10/2026 11:45:00,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2/10/2026 12:00:00,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo
2/10/2026 12:15:00,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo
2/10/2026 12:30:00,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
2/10/2026 12:45:00,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo
2/10/2026 13:00:00,Neutral,De acuerdo,Neutral,De acuerdo
2/10/2026 13:15:00,De acuerdo,De acuerdo,De acuerdo,De acuerdo
2/10/2026 13:30:00,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo
2/10/2026 13:45:00,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
